"","owner","name","date","version","version_ext","V1","V2","V3","calculated_ver"
"1479","meteor","meteor",2015-01-14,"release/WINDOWS-PREVIEW@0.0.33","0.0.33","0","0","33",33
"1480","meteor","meteor",2015-01-13,"release/WINDOWS-PREVIEW@0.0.32","0.0.32","0","0","32",32
"1481","meteor","meteor",2015-01-13,"release/WINDOWS-PREVIEW@0.0.30","0.0.30","0","0","30",30
"1482","meteor","meteor",2015-01-08,"release/METEOR@1.0.2.1-compression.0","1.0.2","1","0","2",1000002
"1483","meteor","meteor",2015-01-08,"release/SLAVA-TEST@0.0.1","0.0.1","0","0","1",1
"1484","meteor","meteor",2014-12-23,"release/METEOR@1.0.2.1","1.0.2","1","0","2",1000002
"1485","meteor","meteor",2014-12-22,"release/METEOR@cordova-41.0",NA,NA,NA,NA,NA
"1486","meteor","meteor",2014-12-22,"release/METEOR@1.0.2.1-rc.2","1.0.2","1","0","2",1000002
"1487","meteor","meteor",2014-12-22,"release/METEOR@CORDOVA-4.1",NA,NA,NA,NA,NA
"1488","meteor","meteor",2014-12-22,"release/METEOR@1.0.2.1-rc.1","1.0.2","1","0","2",1000002
"1489","meteor","meteor",2014-12-19,"release/METEOR@1.0.2","1.0.2","1","0","2",1000002
"1490","meteor","meteor",2014-12-17,"release/METEOR@1.0.2-rc.7","1.0.2","1","0","2",1000002
"1491","meteor","meteor",2014-12-17,"release/METEOR@1.0.2-rc.6","1.0.2","1","0","2",1000002
"1492","meteor","meteor",2014-12-16,"release/METEOR@1.0.2-rc.5","1.0.2","1","0","2",1000002
"1493","meteor","meteor",2014-12-15,"release/METEOR@1.0.2-rc.4","1.0.2","1","0","2",1000002
"1494","meteor","meteor",2014-12-13,"release/METEOR@1.0.2-rc.3","1.0.2","1","0","2",1000002
"1495","meteor","meteor",2014-12-12,"release/METEOR@1.0.2-rc.2","1.0.2","1","0","2",1000002
"1496","meteor","meteor",2014-12-12,"release/METEOR@1.0.2-rc.1","1.0.2","1","0","2",1000002
"1497","meteor","meteor",2014-12-10,"release/METEOR@1.0.2-test-spring","1.0.2","1","0","2",1000002
"1498","meteor","meteor",2014-12-09,"release/METEOR@0.9.4.1","0.9.4","0","9","4",9004
"1499","meteor","meteor",2014-12-09,"release/0.7.2.3","0.7.2","0","7","2",7002
"1500","meteor","meteor",2014-12-09,"release/METEOR@1.0.1","1.0.1","1","0","1",1000001
"1501","meteor","meteor",2014-12-09,"release/0.6.5.3","0.6.5","0","6","5",6005
"1502","meteor","meteor",2014-12-09,"release/0.8.3.1","0.8.3","0","8","3",8003
"1503","meteor","meteor",2014-12-05,"release/emily-test-old2",NA,NA,NA,NA,NA
"1504","meteor","meteor",2014-12-05,"release/emily-test-old",NA,NA,NA,NA,NA
"1505","meteor","meteor",2014-10-28,"mother-dev-bundle-node-0.8.28","0.8.28","0","8","28",8028
"1506","meteor","meteor",2014-10-28,"release/METEOR@1.0",NA,NA,NA,NA,NA
"1507","meteor","meteor",2014-10-28,"release/METEOR@1.0-rc.11",NA,NA,NA,NA,NA
"1508","meteor","meteor",2014-10-28,"release/METEOR@1.0-rc.10",NA,NA,NA,NA,NA
"1509","meteor","meteor",2014-10-24,"release/METEOR@1.0-rc.9",NA,NA,NA,NA,NA
"1510","meteor","meteor",2014-10-24,"release/METEOR@1.0-rc.8",NA,NA,NA,NA,NA
"1511","meteor","meteor",2014-10-23,"release/METEOR@1.0-rc.7",NA,NA,NA,NA,NA
"1512","meteor","meteor",2014-10-23,"release/METEOR@1.0-rc.6",NA,NA,NA,NA,NA
"1513","meteor","meteor",2014-10-23,"release/METEOR@1.0-rc.5",NA,NA,NA,NA,NA
"1514","meteor","meteor",2014-10-22,"release/METEOR@1.0-rc.4",NA,NA,NA,NA,NA
"1515","meteor","meteor",2014-10-22,"release/METEOR@1.0-rc.3",NA,NA,NA,NA,NA
"1516","meteor","meteor",2014-10-18,"release/METEOR@1.0-rc.2",NA,NA,NA,NA,NA
"1517","meteor","meteor",2014-10-18,"release/METEOR@1.0-rc.1",NA,NA,NA,NA,NA
"1518","meteor","meteor",2014-10-17,"release/METEOR@1.0-rc.0",NA,NA,NA,NA,NA
"1519","meteor","meteor",2014-10-17,"release/METEOR@refreshpolicy-test.1",NA,NA,NA,NA,NA
"1520","meteor","meteor",2014-10-17,"release/METEOR@0.9.4.1-rc.1","0.9.4","0","9","4",9004
"1521","meteor","meteor",2014-10-13,"release/METEOR@0.9.4","0.9.4","0","9","4",9004
